Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
DUBOC (Adolphe),;Né à Rouen, élève de M. G. Morin. Mention honorable et Médaille de bronze, à Rouen Rue de la Cigogne, 3, Rouen.;131;Vue de l’église Saint-Vivien, prise rue Eau¬ de-Robec).;prise rue Eaude-Robec).;
DUBOC (Adolphe),;Né à Rouen, élève de M. G. Morin. Mention honorable et Médaille de bronze, à Rouen Rue de la Cigogne, 3, Rouen.;132;Vue de l’église Saint-Laurent ;(prise, rue du Cimetière Saint-Laurent).;
DUBOURG (Mlle Victoria),;Née à Paris, rue de l’Université, 19, Paris.;133;Panier de prunes.;;
DUBOURG (Mlle Victoria),;Née à Paris, rue de l’Université, 19, Paris.;134;Fleurs et Fruits.;;
DUBOURG (Louis-Alexandre),;Né à Honfleur (Calvados), élève de M. Léon Cogniet. Médailles d'argent à Rouen, Saint-Lô, Caen. Médailles de bronze aux expositions de Rouen, Metz, le Havre, etc. Rue de la ville, Honfleur (Calvados).;135;Des Glaneuses.;;
DUBOURG (Louis-Alexandre),;Né à Honfleur (Calvados), élève de M. Léon Cogniet. Médailles d'argent à Rouen, Saint-Lô, Caen. Médailles de bronze aux expositions de Rouen, Metz, le Havre, etc. Rue de la ville, Honfleur (Calvados).;136;Le Marché Sainte-Catherine, à Honfleur;à Honfleur;
DUBOURG (Louis-Alexandre),;Né à Honfleur (Calvados), élève de M. Léon Cogniet. Médailles d'argent à Rouen, Saint-Lô, Caen. Médailles de bronze aux expositions de Rouen, Metz, le Havre, etc. Rue de la ville, Honfleur (Calvados).;137;Ferme Saint-Siméon, à Honfleur;à Honfleur;
DUCHESNE (Louis-Charles),;Né à Vailly (Aisne), élève de M. Barrias. Deux médailles d’or, une médaille de vermeil, une d’argent et deux en bronze. Rue Saint-Nicolas, 71, Rouen.;138;Le moulin de Penne-de-Pie ;(Calvados).;
DUCHESNE (Louis-Charles),;Né à Vailly (Aisne), élève de M. Barrias. Deux médailles d’or, une médaille de vermeil, une d’argent et deux en bronze. Rue Saint-Nicolas, 71, Rouen.;139;Un moulin près d’Honfleur ;(Calvados).;
DUCHESNE (Louis-Charles),;Né à Vailly (Aisne), élève de M. Barrias. Deux médailles d’or, une médaille de vermeil, une d’argent et deux en bronze. Rue Saint-Nicolas, 71, Rouen.;140;Lilas.;;
DUPRÉ (Victor),;Né à Limoges (Haute-vienne), élève de M. Jules Dupré. Rue Saint-Georges, 45, Paris.;141;L'abreuvoir.;;
DUPRÉ (Victor),;Né à Limoges (Haute-vienne), élève de M. Jules Dupré. Rue Saint-Georges, 45, Paris.;142;Paysage.;;
DUPRÉ (Victor),;Né à Limoges (Haute-vienne), élève de M. Jules Dupré. Rue Saint-Georges, 45, Paris.;143;Environs de Cayeux.;;
