Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
DEFAUX (Alexandre),;Né à Bercy (Seine). Mention honorable à Paris. Médaille à Rouen. Rue Duperré, 4, Paris,;105;Environs de Barbizon.;;
DEFAUX (Alexandre),;Né à Bercy (Seine). Mention honorable à Paris. Médaille à Rouen. Rue Duperré, 4, Paris,;106;Forêt de Sénart ;(coucher de soleil).;
DEFAUX (Alexandre),;Né à Bercy (Seine). Mention honorable à Paris. Médaille à Rouen. Rue Duperré, 4, Paris,;107;Le Moulin de Jarcy ;(étude d’après nature).;
DELAMBRE (Léon),;Né à Paris, élève de M. L. Bonlangé. Rue du Rond-Point, 13, aux Lilas (Seine);108;Vue prise en Franche-Comté.;;
DELAMBRE (Léon),;Né à Paris, élève de M. L. Bonlangé. Rue du Rond-Point, 13, aux Lilas (Seine);109;Les harengs, ;(poissons et gibier).;
DELECHAUX (Marcelin),;Né à Bordeaux, élève de M. Plassan. Rue du Chemin de fer, 69, à la Garenne de Colombe (Seine).;110;L’amateur.;;
DELECHAUX (Marcelin),;Né à Bordeaux, élève de M. Plassan. Rue du Chemin de fer, 69, à la Garenne de Colombe (Seine).;111;Une première pipe.;;
DESACHY (Henri-Emile),;Né à Paris, élève de MM. Cabanel et P. Colin. Avenue de Neuilly, 163, à Neuily-sur-Seine.;112;Paysage.;;
DESAVARY (Charles-Paul),;Né à Arras (Pas-de-Calais), élève de MM. C. Dutilleux et Corot. Rue Saint-Aubert, 69, Arras (Pas-de-Calais).;113;Avenue de Schoubrach, au Caire.;au Caire.;
DESAVARY (Charles-Paul),;Né à Arras (Pas-de-Calais), élève de MM. C. Dutilleux et Corot. Rue Saint-Aubert, 69, Arras (Pas-de-Calais).;114;Au printemps, dans le pré de Sainte-Cathe¬ rine-lès-Arras.;dans le pré de Sainte-Catherine-lès-Arras.;
DESAVARY (Charles-Paul),;Né à Arras (Pas-de-Calais), élève de MM. C. Dutilleux et Corot. Rue Saint-Aubert, 69, Arras (Pas-de-Calais).;15;En été, dans le pré de Sainte-Catherine-lès. Arras.;dans le pré de Sainte-Catherine-lès. Arras.;
DESJARDINS (Louis-Léon),;Né à Amiens (Sonme), élève de Horace Vernet. Médailles à Rouen, 1863 et 1864. A Guéret (Creuse).;116;Près du village.;;
DESJARDINS (Louis-Léon),;Né à Amiens (Sonme), élève de Horace Vernet. Médailles à Rouen, 1863 et 1864. A Guéret (Creuse).;117;Chemin creux sous bois.;;
DESSORINS (Ls.-Lx).;Né à Paris, élève de M. Delvau. Rue Lallier, 4, Paris.;118;Vue prise à Pont-Audemer, le Port.;le Port.;
DESSORINS (Ls.-Lx).;Né à Paris, élève de M. Delvau. Rue Lallier, 4, Paris.;119;Vue prise à Pont-Audemer, intérieur de la Ville.;intérieur de la Ville.;
DESTAPPE (Maurice),;Né à Paris, élève de M. Jules Noël. A Barfleur (Manche).;120;Effet de brume, au matin, près Cherbourg.;au matin, près Cherbourg.;
DÉVÉ (Eugène),;Né à Rouen, élève de Flers. Rue de Rocroy, 2, Paris.;121;Animaux sur les hauteurs de Villers;;
DÉVÉ (Eugène),;Né à Rouen, élève de Flers. Rue de Rocroy, 2, Paris.;122;Vue prise sur la côte de Grâce, à Honfleur;à Honfleur;
DE VOS (Julien),;Né à Bailleul (Nord), élève de MM. Colas et Caband Rue d’Albuféra, 106, Vernon (Eure).;123;Ecole de village;;
D’HAUTEL (Virgile),;Né à Paris, élève de Mm. Lequien et L. Cogniet. Rue du Château-d’Eau, 94, Paris.;124;Groseilles et prunes.;;
DONEAUD (Jean-Eugène),;Né à Paris, élève de H. Flandrin. à Villa-Montmorency (Auteuil);125;Strasbourg ;(esquisse);
DONEAUD (Jean-Eugène),;Né à Paris, élève de H. Flandrin. à Villa-Montmorency (Auteuil);126;Les préparatifs.;;
DOURLENS (Xavier-Jules),;Né à Arras (pas-de-Calais), élève de M. C. Dutilleux. Rue des Gaugniers, 11, Arras.;127;Aux environs de Mont-Saint-Eloy ;(Pas-deCalais).;
DOURLENS (Xavier-Jules),;Né à Arras (pas-de-Calais), élève de M. C. Dutilleux. Rue des Gaugniers, 11, Arras.;128;Soleil du matin.;;
DOURLENS (Xavier-Jules),;Né à Arras (pas-de-Calais), élève de M. C. Dutilleux. Rue des Gaugniers, 11, Arras.;129;Cour de ferme près Arras.;;
D;0ZE (Jean-Marie-Melchior), Né à Uzès (Gard), élève de M. Jules F’élon. 17 Médailles, argent, vermeil et or, à diverses expositions de provinces, et deux Mentions honorables aux salons de Paris. 1861 et 1865. Officier d’Académie et Chevalier de l’Ordre royal d’Isabelle-la Catholique. Boulevard du Grand-Cours, 19, Nîmes (Gard).;130;Les douze apôtres, saint Gervais, sainte Hélène et saint Louis. Réduction des peintures murales, formant l'hémi¬ cycle du choeur de l’église de Saint-Gervasy, ;saint Gervais, sainte Hélène et saint Louis. Réduction des peintures murales, formant l'hémicycle du choeur de l’église de Saint-Gervasy, (Gard).;
