Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
TJARDA VAN STARKENBORGH,; J. N. Düsseldorf.;279;En Thuringe ;(paysage). . . . . . . 1125;
TRIPONEL, Mad.; Marie. Versailles.;280;Bégonias ;(faïence). . . . . . . . . 130;
TUYTTENS, Jérôme.;Anvers.;281;Soirée d’hiver. . . . . . . . . . . 200;;
TUYTTENS, Jérôme.;Anvers.;282;Aquarelle. . . . . . . . . . . . . 75;;
TUYTTENS, Jérôme.;Anvers.;283;Aquarelle. . . . . . . . . . . . . 75;;
GRISON, Adolphe.;Champigny-sur-Marne.;108;Gil-Blas. . . . . . . . . . . . . . fr. 1000;;
GRISON, Adolphe.;Champigny-sur-Marne.;109;La rue Poterie à Vitré ;(Bretagne). Appartient à M. ***.;
GROSS, Mlle Emilie.;Strasbourg.;110;Jeune vieille.;;
GROSS, Mlle Emilie.;Strasbourg.;111;Pivoines.;;
GRUND, Jean.;Autrichien. — Baden-Baden.;112;Ménade en ivresse. . . . . . . . . 3000;;
GUIGNÉ, Alexis-Eugène.;Paris.;113;Montigny-sur-le-Loing ;(aquarelle). . 150;
GUIGNÉ, Alexis-Eugène.;Paris.;114;Bords de la Seine à Saint-Denis ;(aquarelle). . . . . . . . . . . . . . 150;
GUINDON, Marius.;Marseille.;115;Labourage à Ostie ;(bords du Tibre). 1500;
HAFFNER, Félix (feu);, né à Strasbourg.;116;Portrait de Mad. Rousselet.;;
HAFFNER, Félix (feu);, né à Strasbourg.;117;Portrait de Mad. Ringeissen.;;
HÉBERT, Édouard-Ernest-Paulin.;Paris.;118;Souvenir de Saint-Valéry. . . . . . 250;;
HÉBERT, Édouard-Ernest-Paulin.;Paris.;119;L'offrande à la Madone ;(aquarelle). . 200;
HOCHSTUHL, Charles.;Sainte-Marie-aux-Mines.;120;Environs de Sainte-Marie. . . . . . fr 400;;
HOCHSTUHL, Charles.;Sainte-Marie-aux-Mines.;121;Allée de cerisiers ;(avant la pluie). . 300;
HOCHSTUHL, Charles.;Sainte-Marie-aux-Mines.;122;La roche aux corbeaux. . . . . . . 250;;
HOCHSTUHL, Charles.;Sainte-Marie-aux-Mines.;123;Ile du Rhin ;(hiver). . . . . . . . . 250;
HOCHSTUHL, Charles.;Sainte-Marie-aux-Mines.;124;Près de Ribeauvillé ;(hiver). . . . . 250;
HODEBERT, Léon-César-Auguste.;Rouen.;125;Les huîtres. . . . . . . . . . . . 250;;
HUMBERT, Louis.;Chaumont.;126;Un chemin en forêt. . . . . . . . 700;;
HUMMEL, J.; G. Strasbourg.;127;Nature morte.;;
HUYSMANS, Jean-Baptiste.;Belge. — Paris.;128;Rêverie. . . . . . . . . . . . . . 400;;
IWILL, Joseph.;Paris.;129;Ile de Walckeren ;(Zélande), route dans les Dunes. . . . . . . . . . . . 350;
IWILL, Joseph.;Paris.;130;Entrée de ferme à Étretat. . . . . . 200;;
IWILL, Joseph.;Paris.;131;Sentier sous bois ;(pastel). . . . . . 180;
JACOBS, Louis.;Bruxelles.;132;Chaloupe de pêche ostendaise. . . . 500;;
JACOBS, Louis.;Bruxelles.;133;Une vue de l’Escaut à l’approche du crépuscule. . . . . . . . . . . . 400;;
JACOBS, Rodolphe.;Bruxelles.;134;La fille de ferme. . . . . . . . . . fr. 350;;
JACOBS, Rodolphe.;Bruxelles.;135;La répétition. . . . . . . . . . . . 350;;
JUNDT, Gustave;, né à Strasbourg. Paris.;136;Le dimanche matin. . . . . . . . 1200;;
KAROLY, Mlle C. S.;, née à Molsheim. Lyon.;137;Une jeune Bordelaise. . . . . . . . 150;;
KAROLY, Mlle C. S.;, née à Molsheim. Lyon.;138;Saint-Bris ;(Huguenots). .  . . . . . 500;
KAROLY, Mlle C. S.;, née à Molsheim. Lyon.;139;Un coq. . . . . . . . . . . . . 250;;
KEGELJAN, Franz.;Namur.;140;Les rochers de Dave ;(bords de la Meuse) 1300;
KEGELJAN, Franz.;Namur.;141;Le village de Dave. . . . . . . . . 900;;
KOLLER, Rodolphe.;Zurich.;142;Vaches au bord du lac. . . . . . . 4500;;
LANDELLE, Charles.;Paris.;143;Campement de Bohémiens. . . . . 1000;;
LANDELLE, Charles.;Paris.;144;Femme de Boghari ;(province d’Alger) 800;
LANDRÉ, Mlle Louise-Amélie.;Paris.;145;Fleurs de mai. . . . . . . . . . . 250;;
LANDRÉ, Mlle Louise-Amélie.;Paris.;146;Vue de Port-Navalo ;(Bretagne). . . 100;
LANSYER, Emmanuel.;Paris.;147;Le château de Tennesue ;(Deux-Sèvres) 600;
LANSYER, Emmanuel.;Paris.;148;Marine ;(temps d’orage). . . . . . . 900;
LAROQUE, Georges.;Paris.;149;Chiens anglais ;(Foxhounds). . . . . fr. 650;
LATHUILE, Gauthier-Louis.;Paris.;150;Rouget ;(nature morte). . . . . . . vendu.;
LA VILLETTE, Mad. Elodie;, née à Strasbourg. Fort d’Aubervilliers.;151;Les sables ;(île de Groix). . . . . . 2000;
LA VILLETTE, Mad. Elodie;, née à Strasbourg. Fort d’Aubervilliers.;152;Port Saint-Nicolas ;(île de Groix). . 1000;
LÉAUTEZ, Mlle Marie.;Troyes.;153;Le soir à Vauchassis ;(Aube). . . . 400;
LEEMPUTTEN, Frans van.;Bruxelles.;154;Dans la bruyère ;(nord de la Belgique) 2000;
LEEMPUTTEN, Frans van.;Bruxelles.;155;Récolte de pommes de terre ;(Zélande) 1200;
LEREDDE, Octave.;;;Paris.;;
;156. Un bouquiniste (eau forte). . . . . 20;156;Un bouquiniste ;(eau forte). . . . . 20 LE SAGE, Mlle Gabrielle. Paris.;
;156. Un bouquiniste (eau forte). . . . . 20;157;Roses ;(aquarelle). . . . . . . . . . 90;
;156. Un bouquiniste (eau forte). . . . . 20;158;Mohamed, Raïs de Dahabich ;Raïs de Dahabich (faïence) 150;
LE SÉNÉCHAL DE KERDRÉORET,; Gustave-Édouard. Paris.;159;Le Trèport. . . . . . . . . . . . . 350;;
MAIGNAN, Albert.;Paris.;160;Hommage à Clovis II. . . . . . . 6000;;
MAISONNEUVE, Louis.;Paris.;161;Saint Jérôme. . . . . . . . . . . fr. 2000;;
MARINIER, Jules.;Paris.;162;Faisans et perdrix. . . . . . . . .  300;;
MARX, Alphonse.;Paris.;163;Huîtres. . . . . . . . . . . . . . 300;;
MARX, Alphonse.;Paris.;164;Fraises. . . . . . . . . . . . . . 300;;
MASCART, Gustave.;Paris.;165;Côtes de Normandie ;(marée basse). 500;
MASCART, Gustave.;Paris.;166;Une rue à Saint-Maurice-sur-Aveyron;;
MENDEZ, Manuel.;Espagnol. — Paris.;167;Le Printemps 400;;
MENDEZ, Manuel.;Espagnol. — Paris.;168;Idem  panneaux décoratifs.  400;;
MOREAU DE JOURS,; Georges. Paris.;169;Une Parisienne. . . . . . . . . . . 800;;
MUSIN, Auguste.;Bruxelles.;170;Le yacht « La Coquette ». . . . . . 1000;;
MUSIN, François.;Bruxelles;171;L’arrière-port d’Ostende. . . . . . . 1000;;
AMMAN, Charles.;Strasbourg.;1;Andromaque de Rochegrosse ;(Salon de 1883), d’après une reproduction du Journal illustré.;
ANTHONISSEN, Louis-Joseph.;Belge. — Paris.;2;Les raisins. . . . . . . . . . . . fr. 1000;;
ANTHONISSEN, Louis-Joseph.;Belge. — Paris.;3;Effet de neige. . . . . . . . . . . 300;;
ANTHONISSEN, Louis-Joseph.;Belge. — Paris.;4;Effet de soir dans les Flandres. . . 150;;
