Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
NAY (Mlle Alice);, née à Paris, élève de Mme de Colligny-Boursier. — Chez Mme Boursier, rue de Rome, 57, Paris.;878;Quel livre amusant! ;(aquarelle).;
NAY (Mlle Hélène);, née à Paris, élève de Mme de Colligny-Boursier. — Chez Mme Boursier, rue de Rome, 57, Paris.;879;Iris, éventail ;éventail (aquarelle).;
NÈGRE (Mme Prudence);, née à Paris, élève de Mlle Salon et de M. Penet. — Rue CampagnePremière, 15, Paris.;880;Portrait de Mlle M. F. ;(dessin au conté).;
NOBILLET (Auguste-Michel);, né à Vitré (Ille-etVilaine), élève de MM. E. Vernier et P. Vayson, M. H., Paris, 1888, méd. 2e cl., 1re cl., Versailles, méd., Cherbourg, Rennes, etc.;881;Rosier ;(dessin à la plume).;
NOZAL (Alexandre);, né à Paris, élève de M. Luminais , H. C. — Rue Lafontaine, 26, Paris-Auteuil.;882;Blés à Etretat ;(Seine-Inférieure) (pastel).;
OLLENDON (Mme d’);, née à Poitiers, M. H., Paris, 1878, 2 méd. de verm., Poitiers, méd. d’arg., Châteauroux, 1888. — Rue de Grenelle, 3, Paris.;883;Judith ;(émail).;
OLLENDON (Mme d’);, née à Poitiers, M. H., Paris, 1878, 2 méd. de verm., Poitiers, méd. d’arg., Châteauroux, 1888. — Rue de Grenelle, 3, Paris.;884;Fabiola ;(émail).;
PARQUET (Gustave);, né à Beauvais, méd. verm., Amiens, Chàteauroux, Saint-Quentin, mentions (au blanc et noir), Paris, Concours du Figaro, Poitiers, Perpignan. — Rue du Faubourg-Saint- Honoré, 233, Paris.;885;Le piqueur ;(aquarelle).;
PÉLISSIÉ (Mme Anna-Anatole);, née à Paris, élève de Dagnan-Bouveret. — Rue du Colisée, 15, Paris.;886;Portrait ;(pastel).;
PELOUX (Ferdinand);, né à Nîmes, diverses récompenses en province. — Ruelle Sainte-Eugénie, 1, Nîmes.;887;Etude à Candiac ;(Gard) (fusain).;
PELOUX (Ferdinand);, né à Nîmes, diverses récompenses en province. — Ruelle Sainte-Eugénie, 1, Nîmes.;888;Une mare à Candiac ;(fusain).;
PERRIN (Mlle Léonie),; élève de Mlle Voruz et de M. F. Barrias, méd. d’arg., Châteauroux, 1888. — Rue des Martys, 41, Paris.;889;Tulipes ;(aquarelle).;
PERRIN (Mlle Léonie),; élève de Mlle Voruz et de M. F. Barrias, méd. d’arg., Châteauroux, 1888. — Rue des Martys, 41, Paris.;890;Moules et crevettes ;(aquarelle).;
PHILIPPAR (Mlle Jeanne-Charlotte);, née à Paris, élève de MM. J. Lefebvre et Boulanger. — Rue SaintAugustin, 5, Paris.;891;Tête d'étude ;(pastel).;
PIOT (Ernest-C.);, né à Paris, élève de M. Bergeret, M. H., Perpignan, Angers, 1888, méd., Boulogne,;1887;Boulevard Péreire, 7, Paris, et à Chambines, près Pacy-sur-Eure.;7, Paris, et à Chambines, près Pacy-sur-Eure.;
PIOT (Ernest-C.);, né à Paris, élève de M. Bergeret, M. H., Perpignan, Angers, 1888, méd., Boulogne,;892;Cadre contenant quatre dessins à la plume:;;
PIOT (Ernest-C.);, né à Paris, élève de M. Bergeret, M. H., Perpignan, Angers, 1888, méd., Boulogne,;1;Falaises d’Etables ;(Côtes-du-Nord). — 2. Grève de Saint-Marc (Côtes-du-Nord). — 3. Moulin d’Etables (Côtes-du-Nord).— 4. Environs de Guingamp.;
PLANTEFOL (feu Ferdinand);, né à Elbeuf, élève de M. Jules Adeline.;893;Sépia d'une statue d’enfant dans un cimetière de Bruxelles.;;
PRÉVOT (Aristide);, né à Escles-lès-Aumale, élève de M. Dufaur. — Route de Neufchâtel, 42, Rouen.;894;La Chênaie d’Escles ;(dessin).;
PUYROCHE-WAGNER (Mme Elise);, née à Dresde, élève de Saint-Jean. — Rue Pierre Corneille, 9, Lyon.;895;Groupe de raisins ;(aquarelle).;
QUOST (Ernest);, né à Avallon (Yonne), méd. 3e cl., 1880, méd. 2e cl., 1882, H. C. — Rue Rochechouart, 74, Paris.;896;Roses ;(aquarelle).;
RABEL (Gustave);, né à Rouen, élève de Paul Malençon, gr. méd. de br., Beauvais, 1885. — Route du Mont-aux-Malades, 1, Rouen.;897;Croquis de voyages, Villerville, Normandie ;Villerville, Normandie (neuf aquarelles).;
RABEL (Gustave);, né à Rouen, élève de Paul Malençon, gr. méd. de br., Beauvais, 1885. — Route du Mont-aux-Malades, 1, Rouen.;898;Croquis de voyages, rues d’Alger ;rues d’Alger (deux aquarelles).;
RAISSIGUIER (Emile);, né à Oran, élève de M. Rapin, plusieurs méd. en province. — Rue Le Verrier, 13, Paris.;899;Aux bords de la Marne ;(aquarelle).;
RAMÉ (Achille-Alexis);, né à Paris, élève de MM. A. de Fontenay et Le Sénéchal, méd., Boulogne, I. . — Rue Berlioz, 19, Paris.;900;Cadre contenant deux aquarelles :;;
RAMÉ (Achille-Alexis);, né à Paris, élève de MM. A. de Fontenay et Le Sénéchal, méd., Boulogne, I. . — Rue Berlioz, 19, Paris.;1;Le Saint-Laurent en construction.— 2. Les ormes de Blingne.;;
RIGOLOT (Albert-Gabriel);, né à Paris, élève de MM. Pelouse et Allongé, méd. de verm., Rouen, méd. d'arg., Rennes, Perpignan, méd. 2e cl. (au blanc et noir), Paris.— Avenue d'Orléans, 52, Paris.;902;La Seine à Rouen ;(pastel).;
RIGOLOT (Albert-Gabriel);, né à Paris, élève de MM. Pelouse et Allongé, méd. de verm., Rouen, méd. d'arg., Rennes, Perpignan, méd. 2e cl. (au blanc et noir), Paris.— Avenue d'Orléans, 52, Paris.;903;Le grand canal à Venise ;(pastel).;
