Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
RIVOIRE (François);, né à Lyon, élève de l’Ecole des Beaux-Arts de Lyon, M. H., Paris, 1883, méd. 3e cl., Paris, 1886, méd. 1re cl., Lyon, 1888.—Rue Bréda, n° 15, Paris.;904;Fruits ;(aquarelle).;
RIVOIRE (François);, né à Lyon, élève de l’Ecole des Beaux-Arts de Lyon, M. H., Paris, 1883, méd. 3e cl., Paris, 1886, méd. 1re cl., Lyon, 1888.—Rue Bréda, n° 15, Paris.;905;Azalées ;(aquarelle).;
ROBERT (Charlemagne);, né à Corbeil (Seine-etOise), élève de Picot. — Rue d’Orléans, 28, Neuillysur-Seine.;906;Vues d’Yport ;(aquarelles).;
ROCHEGROSSE (Georges);, né à Versailles, élève de MM. G. Boulanger et J. Lefebvre, méd. d’or du département de la Seine-Inférieure, 1884, 2e et 3e méd., Paris, prix du Salon, 1883, H. C. —Rue Chaptal, 20, Paris.;907;Japonisme ;(pastel).;
ROGER (Mlle Marie);, née à Paris, élève de l’Ecole régionale des Beaux-Arts de Rouen, de M. E. Lebel et de Mlle Jumel. — Rue de l’Ecureuil, 14, Rouen.;908;Pivoines ;(gouache).;
ROGER (Mlle Marie);, née à Paris, élève de l’Ecole régionale des Beaux-Arts de Rouen, de M. E. Lebel et de Mlle Jumel. — Rue de l’Ecureuil, 14, Rouen.;909;Eventail ;(gouache).;
SAINT-MARCEL (Charles-Edme);, né à Paris, élève de M. E. Delacroix, M. H., Paris, 1848, méd. d'hon. au concours régional de Melun, méd., Nantes, Dijon. — Rue Saint-Merry, 201, Fontainebleau.;910;Tête de biche coupée ;(dessin aux trois crayons).;
SAINT-MARCEL (Charles-Edme);, né à Paris, élève de M. E. Delacroix, M. H., Paris, 1848, méd. d'hon. au concours régional de Melun, méd., Nantes, Dijon. — Rue Saint-Merry, 201, Fontainebleau.;911;Le droit divin ;(combat d’animaux) (sanguine).;
SALARD (Mlle Céline);, née à Paris, élève de Mlle Voruz, méd. de verm., 1888, Châteauroux. — Avenue de la Grande-Armée, 72, Paris.;912;Panier de roses ;(aquarelle).;
SARABEN (Louis-Alexis),; né au Havre, élève de Pils et de M. Lhuillier, méd., Exp. de la Société des Beaux-Arts du Havre. — Rue des Pincettes, 37, Le Havre.;913;Le manoir de Vitenval, près Le Havre ;près Le Havre (maison historique où habitait François Ier) (aquarelle).;
SAUVAGE-DUMÉNIL (Mme Louise);, née à Rouen, élève de M. E. Renouard — Bernay (Eure).;914;Portrait de M. A. S... ;(dessin au crayon).;
SIMON (J.-B.-Léon);, né à Metz, élève de M. Migette, méd. de verm., Chaumont, 1882, méd. de br., Dijon, 1883, M. H. (blanc et noir), Paris, 1885 , méd. de br., Dijon, 1885, Amiens, 1885, méd. d’or, Bourges, 1886, méd. de br., Epinal, 1888. — Rue du Moyen-Pont, 3, Metz.;915;La Hoûve ;(Lorraine) (fusain.);
SIMON (J.-B.-Léon);, né à Metz, élève de M. Migette, méd. de verm., Chaumont, 1882, méd. de br., Dijon, 1883, M. H. (blanc et noir), Paris, 1885 , méd. de br., Dijon, 1885, Amiens, 1885, méd. d’or, Bourges, 1886, méd. de br., Epinal, 1888. — Rue du Moyen-Pont, 3, Metz.;916;Vallée de la Nied ;(Lorraine) (fusain).;
SOCLET (Louis-Arthur);, né à Paris, élève de M. Ch. Lhuillier. — Rue de Paris, 25, Le Havre.;917;Le quai Bérigny à Fécamp ;(aquarelle).;
SPALIKOWSKI (Casimir);, né à Rouen, élève de l’Ecole des Beaux-Arts de Rouen. — Rue SaintNicaise, 32, Rouen.;918;Cadre contenant deux aquarelles :;;
SPALIKOWSKI (Casimir);, né à Rouen, élève de l’Ecole des Beaux-Arts de Rouen. — Rue SaintNicaise, 32, Rouen.;1;Rue Poussin à Rouen. — 2. Vue de la Cathédrale, prise du Cours-la-Reine.;prise du Cours-la-Reine.;
TCHOUMAKOFF (Théodore);, né à Saint-Pétersbourg, élève de l’Académie des Beaux-Arts. — Boulevard Haussmann, 137, Paris.;919;Une tête de jeune femme ;(peinture à l’essence).;
THUILLIER (Mlle Jeanne-Augustine);, née à Dieppe, élève de M. R. Jouhan. — Rue Desmarest, 34, Dieppe.;920;Les bords de la Béthune, à Dampierre ;à Dampierre (fusain).;
THUILLIER (Mlle Jeanne-Augustine);, née à Dieppe, élève de M. R. Jouhan. — Rue Desmarest, 34, Dieppe.;921;Une chaumière à Bacqueville, près Dieppe ;près Dieppe (fusain). TIMMERMANS (Louis), né à Bruxelles, élève de l’Ecole des Beaux-Arts et de M. Portaels, méd. d’or, Arcachon, méd. 1re cl., Versailles, méd. br., Nîmes, Châteauroux, Pontivy, M. H., Dijon, Moulins, Perpignan, Rennes, etc. — Rue Aumont-Thiéville,;
THUILLIER (Mlle Jeanne-Augustine);, née à Dieppe, élève de M. R. Jouhan. — Rue Desmarest, 34, Dieppe.;922;La Meuse à Rotterdam ;(aquarelle).;
TROUVILLE (Henri).; — Demeurant à Barbizon (Seine-et-Marne).;923;Allée des Artistes ;(forêt de Fontainebleau).;
TROUVILLE (Henri).; — Demeurant à Barbizon (Seine-et-Marne).;924;Rivière de Fleury.;;
TURQUEL (Mlle Mathilde);, née à Gisors (Eure), élève de L. Coignet. — Quai Valmy, 61, Paris.;925;Italienne ;(pastel).;
VARDON (Evariste-Eugène);, né à Lyons-la-Forêt (Eure), élève de MM. Delaunay, E. Lebel et Gérôme. — Rue Leclerc, 1, Paris.;926;Eventail ;(dessin à la plume).;
VARDON (Evariste-Eugène);, né à Lyons-la-Forêt (Eure), élève de MM. Delaunay, E. Lebel et Gérôme. — Rue Leclerc, 1, Paris.;927;Cadre contenant deux dessins à la plume :;;
VARDON (Evariste-Eugène);, né à Lyons-la-Forêt (Eure), élève de MM. Delaunay, E. Lebel et Gérôme. — Rue Leclerc, 1, Paris.;1;La rue du Pont-de-I’Arquet, à Rouen. — 2. Sou¬ venir d’Elétot ;à Rouen. — 2. Souvenir d’Elétot (Seine-Inférieure).;
VIANELLI (Albert);, né à Naples (Italie), élève de son père, de MM. G. Boulanger et J. Lefebvre, chevalier de la Couronne d’Italie (Exp. de Venise, 1887), méd. d’arg. et d’or, Boulogne-sur-Mer, méd. d’arg. et de verm., Amiens. — Place Malesherbes, 14,. Paris.;928;Canal de san Gervasio et san Protasio, à Venise;à Venise;
WYLD (William);, né à Londres, méd. 3e cl., 1839, méd. 2e cl., 1841, M. H. et 1855, E. U., H. C. — Rue Blanche, 27, Paris.;929;A Bab-a-Zoun ;(Alger) (aquarelle).;
WYLD (William);, né à Londres, méd. 3e cl., 1839, méd. 2e cl., 1841, M. H. et 1855, E. U., H. C. — Rue Blanche, 27, Paris.;930;Vue prise au parc de Saint-Cloud ;(aquarelle).;
COEVLAS (Henry);, né à Joinville-le-Pont (Seine). « élève de Pils et de MM. G. Boulanger. J. Letenvre et Gel Ferrier , méd. d’or. Rochefort et Versailles (méd. d’arg. et de br. Amiens, Chaumont, etc. — Rue du Jour, 5, Paris.;428;Retirès des affaires.;;
COEVLAS (Henry);, né à Joinville-le-Pont (Seine). « élève de Pils et de MM. G. Boulanger. J. Letenvre et Gel Ferrier , méd. d’or. Rochefort et Versailles (méd. d’arg. et de br. Amiens, Chaumont, etc. — Rue du Jour, 5, Paris.;429;Contémplation.;;
CONSTANTIN (Mme Adèle);, née à Mulhouse, élève de M. Tony Robert-Fleury, mentions. — Rue SaintJacques, 36, Marseille.;130;Fleurs.;;
CONSTANTIN (Mme Adèle);, née à Mulhouse, élève de M. Tony Robert-Fleury, mentions. — Rue SaintJacques, 36, Marseille.;131;Mendiante.;;
COOL (Mme Delphine de);, née à Limoges, élève de M. Fortin, M. H., Paris, méd. d’or. Madrid (Espagne), méd. d’arg, et de verm. Rouen, méd., E. U., Paris, A. 3. — Rue de Rennes, 97, Paris.;132;Avarice.;;
COOL (Mme Delphine de);, née à Limoges, élève de M. Fortin, M. H., Paris, méd. d’or. Madrid (Espagne), méd. d’arg, et de verm. Rouen, méd., E. U., Paris, A. 3. — Rue de Rennes, 97, Paris.;133;La lanterne.;;
COOL (Gabriel de);, né à Limoges, élève de Mme de Cool et de M. Cabanel. —Rue de Rennes, 97, Paris.;134;Portrait de Mlle X***.;;
COOL (Gabriel de);, né à Limoges, élève de Mme de Cool et de M. Cabanel. —Rue de Rennes, 97, Paris.;135;Miss Smolen ;(étude).;
CORBINEAU (Auguste-Charles);, né à Saumur (Maineet-Loire), élève de MM. Hébért (de l’Institut) et J. Lefebvre, dipl. d’hon. Rennes, méd. 1re cl. Rochefort, Amiens, Saint-Germain, etc. — Rue Sainte-Anne, 51, Paris. 136 Intérieur breton.;137;Le supplice de Tantale.;;
CORMETTES (Mme Gelle de);, née à Abbeville, élève de M. Ris Pagnot. — A Harcelaines (Somme).;138;Une vache à l’étable.;;
COUDER (E.-Gustave);, né à Paris, med., Philadelphie, 1876, méd. de verm., Rouen, 1882.— Quai Saint-Michel, 13, Paris.;139;Un dessert de fête.;;
COUDER (E.-Gustave);, né à Paris, med., Philadelphie, 1876, méd. de verm., Rouen, 1882.— Quai Saint-Michel, 13, Paris.;140;Bourriche de pensées.;;
COUTIL (Léon-Marie);, né à Villiers-sur-Andely, élève de M. Jérôme. — Rue aux Prêtres, aux Andelys.;144;Cnrysanthêmes. Appartient à M. Riout;;
CRENN (Arthur-Ferdinand),; né aux Authieux-surCalonne (Calvados). — Rue d’Amiens, 48, Rouen.;142;Nature morte.;;
CURZON (Paul-Alfred de);, né à Poitiers, élève de Drolling, et de M. Cabat, méd. 2e cl., 1857, rappels, 1889, 1801, 1863, x 1865, méd. 3° cl., E. U. 1867, méd, 2e cl., E. U. 1878, H. C.—Boulevard Suchet, 15, Paris-Passy.;143;Bade de Toulon, vue prise du coteau de Tamaris.;vue prise du coteau de Tamaris.;
CURZON (Paul-Alfred de);, né à Poitiers, élève de Drolling, et de M. Cabat, méd. 2e cl., 1857, rappels, 1889, 1801, 1863, x 1865, méd. 3° cl., E. U. 1867, méd, 2e cl., E. U. 1878, H. C.—Boulevard Suchet, 15, Paris-Passy.;144;Vue de la ville de Capri et cueillelte des olives;;
CUVELIER (Alexandre);, né à Saint-Omer (Pas-deCalais), élève de M. L.P. Laurens. — Rue de Verneuil, 22, Paris.;145;Fleurs.;;
CUYER (Edouard);, né à Paris, élève de M. Bonnat.— Rue de Seine, 13, Paris.;146;Portrait de ma sœur.;;
DAMERON (Emile);, né à Paris élève de M. Pélouses, méd, 3e cl., Paris, 1878, méd. 2e cl., 1882, H. C.— Rue Bréda, 26, Paris.;147;Bords de la Seine. Prêt de l’État.;;
DAMOYE (Pierre -Emmanuel);, né à Paris, élève de Corot et de Daubigny, 3e et 2e méd, Paris, H. C. . Rue Fontaine, 37, Paris.;148;Le vieux chemin de Saint-Jean.;;
