Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
Mehoffer Josef.;;102;a Quindici disegni a carbone.;;
Pankiewicz Josef.;;103;Motivo di Senna ;(acquaforte).;
Pankiewicz Josef.;;104;II porto di Fécamp »;;
Pankiewicz Josef.;;105;II molino »;;
Pankiewicz Josef.;;106;L'argine »;;
Pankiewicz Josef.;;107;La bétulla »;;
Pankiewicz Josef.;;108;'Côte de grace à Honfleur' »;;
Pankiewicz Josef.;;109;Motivo di Parigi »;;
Pankiewicz Josef.;;110;Un vicolo di Dinau »;;
Rubezak Josef.;;111;a Motivi di Cracovia ;(tre acquefolti).;
Skoczylas Wladyslaw.;;111;-121 Le tradizioni di Tatra ;(un dici silografie).;
Stankiewiczowna Zofia;;123;-128 Vecchia Varsavia ;(sei acqueforti).;
Szczyglinski Henryk.;;129;Chiesa dei Domenicani a Cracovia. ;(litografia).;
Wyczolkowski Leon.;130 Vecchio montanaro (acquaforte). 131 Lagonero di Tatra » 132 I pini » 133 Una ragazza di Tatra »;134;-143 Città Lublin ;(dieci litografie).;
Alexeeff Alexandre.;;1;Pesche.;;
Besrodny Pierre.;;2;Raggio di luce.;;
Besrodny Pierre.;;3;Bottega araba in Algeri.;;
Besrodny Pierre.;;4;Terrazza a Siviglia.;;
Besrodny Pierre.;;5;La città d'oro.;;
Besrodny Pierre.;;6;Campo Santa Margherita - Venezia.;;
Besrodny Pierre.;;7;Canalazzo - Venezia.;;
Besrodny Pierre.;;8;Chiesa della Salute - Venezia ;(acquerello).;
Besrodny Pierre.;;9;Finestra chiusa. »;;
Chiriaeff Eugène.;;10;Scena di ballo.;;
Chiriaeff Eugène.;;11;Scena di ballo.;;
Chiriaeff Eugène.;;12;Fiori.;;
Chiriaeff Eugène.;;13;Fiori.;;
De Weligonoff Zenaide.;;14;Olivi in Liguria.;;
Girmunschi Giacomo.;;15;Medio Evo - Capri.;;
Girmunschi Giacomo.;;16;II Corso Tiberio - Capri.;;
Girmunschi Giacomo.;;17;L'Alba - Capri.;;
Gontcharova Nathalie.;;18;Spagnuola.;;
Gontcharova Nathalie.;;19;Spagnuola con ventaglio.;;
Gontcharova Nathalie.;;20;Venditrice ;(acquerello).;
Gontcharova Nathalie.;;21;Danzatrice spagnuola »;;
Grigoriew Boris.;;22;II palazzo delle danze.;;
Grigoriew Boris.;;23;Ritratto dell'altore Moissi ;(Max Reigardt).;
Grigoriew Boris.;;24;Testa di donna.;;
Grigoriew Boris.;;25;Villaggio russo.;;
Jawlensky Alexei.;26 Sguardo supremo. 27 Goccie di vita. 28 Martirio. 29 Sibilla.;30;-32 Variazioni sul tema ;(n. 20-25-26 della serie).;
Kaehlbrandt Zanelli Elisabetta.;;33;Ritratto di bambina.;;
Kaehlbrandt Zanelli Elisabetta.;;34;Bambina al piano.;;
Kaehlbrandt Zanelli Elisabetta.;;35;In giardino.;;
Kaehlbrandt Zanelli Elisabetta.;;36;Ritorno alle stalle.;;
Kaehlbrandt Zanelli Elisabetta.;;37;Vespero.;;
Kaehlbrandt Zanelli Elisabetta.;;38;Anticoli Corrado.;;
Larionoff Michel.;;39;Schizzo per il ballo russo Baba Zaga ;(acquerello).;
Nesnakomoff Jawlensky André.;;40;La commedia è finita.;;
Nesnakomoff Jawlensky André.;;41;Fiore d'autunno.;;
Nesnakomoff Jawlensky André.;;42;Autunno.;;
Portnoff Miscia.;;43;La Pianta di Miriam.;;
Portnoff Miscia.;;44;L’alba su Monte Amiata.;;
Portnoff Miscia.;;45;Dolly pensierosa.;;
Portnoff Miscia.;;46;Capri.;;
Portnoff Miscia.;;47;Piazza Savonarola - Primavera.;;
Portnoff Miscia.;;48;Piazza Savonarola - Autunno a.;;
Portnoff Miscia.;;49;Piazza Savonarola - Autunno b.;;
Scirokof Michel.;;50;Maternità.;;
Scirokof Michel.;;51;Natura morta.;;
Scirokof Michel.;;52;Natura morta.;;
Slutskaja Lija.;;53;-58 Interni.;;
Stelletsky Demitry.;;59;Dall' alba alla notte.;;
Stelletsky Demitry.;;60;Primavera.;;
Stelletsky Demitry.;;61;Estate.;;
Stelletsky Demitry.;;62;Autunno.;;
Stelletsky Demitry.;;63;Inverno.;;
Werefkine Marianne.;;64;Fantasmi.;;
Soudbinine Seraphin.;;65;La danza ;(legno).;
Soudbinine Seraphin.;;66;La Vergine ;(ebano).;
Soudbinine Seraphin.;;67;Testa decorativa ;(cemento).;
Grigoriew Boris.;68 Ritratto del Sig. Chaljapine in Boris Godounoff (disegno). 69 Donna (disegno) 70 Donna » 71 Nyon » 72 Paesaggio russo » 73 Paesaggio russo »;74;-103 30 Disegni.;;
Portnoff Miscia.;;104;La mimosa ;(acquafòrte a colori).;
Portnoff Miscia.;;105;Monte Amiata coperto di neve »;;
Portnoff Miscia.;;106;Alla fontana »;;
Portnoff Miscia.;;107;L'uccellino sul biancospino »;;
Slutskaja Lija.;(Illustrazioni per opere di Andersen) :;108;II compagno di viaggio.;;
Slutskaja Lija.;(Illustrazioni per opere di Andersen) :;109;II guardiano di porci.;;
Slutskaja Lija.;(Illustrazioni per opere di Andersen) :;110;La collina di Elfet.;;
Slutskaja Lija.;(Illustrazioni per opere di Andersen) :;111;'Le briquet'.;;
