Nam et prénom de l'exposant;Informations complémentaire;Numéro;Titre;Informations complémentaires
DUTHOIT(       ).;— 9, rue des Fourneaux.;80;La Vierge de l’Apocalypse.;;
EDOUARD (A.); —19, quai Saint-Michel.;84;La Poésie Lyrique.;;
EDOUARD (A.); —19, quai Saint-Michel.;82;La Fin du Ramadm.;;
EGUSQUIZA (Raymond de).; — 32, rue Copernic.;83;Richard Wagner ;(eau-forte d’après la seule photographie dont le maître fût content).;
EGUSQUIZA (Raymond de).; — 32, rue Copernic.;84;Wagner ;(buste, plâtre).;
EHRMANN.; — 74, faubourg Saint-Géon, à Nancy.;85;La Présentation aux étoiles, Fête des rites de Laotsau.;Fête des rites de Laotsau.;
FABRY (Emile),; rue Potagère, 68, Bruxelles.;86;Famille.;;
FABRY (Emile),; rue Potagère, 68, Bruxelles.;87;Prison.;;
FABRY (Emile),; rue Potagère, 68, Bruxelles.;88;Méditation.;;
FABRY (Emile),; rue Potagère, 68, Bruxelles.;89;Pensée.;;
FEURE (E.; de).;90;Fleur du mal.;;
FEURE (E.; de).;91;Feux follets.;;
FEURE (E.; de).;92;Vision.;;
FEURE (E.; de).;93;Décoration.;;
FOX (G.-B.).; — 32, rue de Vaugirard.;94;La Résurrection de Lazare ;(esquisse, pastel).;
GACHONS (André des).; — 28, rue Servandoni.;95;L’Étang calme ;(I. L’Aurore. — II. Les Parfums nocturnes).;
GACHONS (André des).; — 28, rue Servandoni.;96;Celle qui songe.;;
GACHONS (André des).; — 28, rue Servandoni.;97;Lecture pieuse.;;
GACHONS (André des).; — 28, rue Servandoni.;98;Le Poète suit sa Muse.;;
GACHONS (André des).; — 28, rue Servandoni.;99;Enfer, Purgatoire, Paradis,;Purgatoire, Paradis,;
GACHONS (André des).; — 28, rue Servandoni.;100;Chasteté qui passe ;(appartenant à la Plume).;
GACHONS (André des).; — 28, rue Servandoni.;101;La Guillaneu ;(croquis pour l’illustration d’une vieille chanson poitevine).;
GACHONS (André des).; — 28, rue Servandoni.;102;Ma Mie Jehanne ;(pour illustrer une prose de Jacques des Gachons).;
GACHONS (André des).; — 28, rue Servandoni.;103;Les litanies de ma Muse.;;
GACHONS (André des).; — 28, rue Servandoni.;104;Vision.;;
GAILLARD.;;105;Mistral, comte de Provence, d’après un dessin d’Ilé¬ bert.;comte de Provence, d’après un dessin d’Ilébert.;
GÉRIN (René).; — 17, avenue de Villiers.;106;Contemplation.;;
HABERT (E.).; — 5, avenue Philippe-le-Boucher, Neuilly.;107;Sainte Elisabeth : le Miracle des Roses.;;
HABERT (E.).; — 5, avenue Philippe-le-Boucher, Neuilly.;108;La Légende de Runstephan ;(Finistère).;
HABERT (E.).; — 5, avenue Philippe-le-Boucher, Neuilly.;109;Princesse ;(panneau cuir).;
HANNOTIAU (Alex.; Aug.). — 118, chaussée do Bruxelles.;110;Dans le Parc.;;
HANNOTIAU (Alex.; Aug.). — 118, chaussée do Bruxelles.;111;Soir en Province.;;
